Accession,Organism_Name,Submitters,Release_Date,Isolate,Species,Length,Protein,Geo_Location,USA,Host,Isolation_Source,Collection_Date
QWY26516.1,Hepatitis B virus,"Chen,X.X., Wu,W.C., Shi,M., Chen,X., Wu,W.",30-06-2021,cxx13,Hepatitis B virus,266,core protein,China,,Hoplobatrachus rugulosus,,
QWY26524.1,Hepatitis B virus,"Chen,X.X., Wu,W.C., Shi,M., Chen,X., Wu,W.",30-06-2021,cxx11,Hepatitis B virus,266,core protein,China,,Bufo gargarizans,lung,
AXP99695.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C8C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99696.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C15C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99697.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C16C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99698.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C18C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99699.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C26C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99700.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C27C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99701.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C28C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99702.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C32C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99703.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C41C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99704.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C43C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99705.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C47C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99706.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C51C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99707.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C53C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99708.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C57C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99709.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C59C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99710.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C67C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99711.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T1062C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99712.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2005C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99713.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2011C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99714.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2012C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99715.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2010C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99716.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2007C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99717.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2002C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99718.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2001C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99719.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2006C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99720.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2009C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99721.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2013C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99722.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2016C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99723.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2020C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99724.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2023C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99725.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2029C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99726.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2030C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99727.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2032C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99728.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T1005C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99729.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T1015C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99730.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T1019C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99731.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2014C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99732.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2004C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99733.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2028C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99734.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2017C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99735.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2008C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99736.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2003C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99737.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2031C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99738.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2036C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99739.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,T2035C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99740.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C10C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99741.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C14C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99742.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C19C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99743.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C20C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99744.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C21C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
AXP99745.1,Hepatitis B virus,"Amougou Atsama,M., Marchio,A., Bivigou Mboumba,B., Noah Noah,D., Fewou Moundipa,P., Atangana,P.J.A., Pineau,P., Njouom,R.",28-08-2018,C25C,Hepatitis B virus,262,core protein,Cameroon,,Homo sapiens,blood,2016
