Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Arctic ground squirrel hepatitis B virus 676,41952.19,ON098122,fig|41952.19.peg.3,,,PATRIC.41952.19.ON098122.CDS.1059.2342.fwd,PATRIC,CDS,1059,2342,1284,+,,,,,427,PreS1_PreS2_S,PreS1_PreS2_S protein,
Hepatitis B virus HK1465,10407.10271,DQ089795,fig|10407.102709.CDS.2,,,PATRIC.10407.102709.DQ089795.CDS.2851.838.fwd,PATRIC,CDS,2851,838,1206,+,,,,AAZ05287.1,401,preS1/S2/S,preS1/S2/S,
Hepatitis B virus 7983,10407.1212,U87742,fig|10407.1212.CDS.2,,,PATRIC.10407.1212.U87742.CDS.2866.840.fwd,PATRIC,CDS,2866,840,1206,+,,,,AAC58023.3,401,preS1/S2/S,preS1/S2/S protein,
Hepatitis B virus,10407.51674,AY161138,fig|10407.51674.CDS.2,,,PATRIC.10407.51674.AY161138.CDS.2857.838.fwd,PATRIC,CDS,2857,838,1206,+,,,,AAO12542.1,401,,preS1,
Hepatitis B virus HK2342,10407.10248,DQ089757,fig|10407.102478.CDS.2,,,PATRIC.10407.102478.DQ089757.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05137.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1733,10407.10248,DQ089758,fig|10407.102482.CDS.2,,,PATRIC.10407.102482.DQ089758.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05142.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK454,10407.10249,DQ089760,fig|10407.102495.CDS.2,,,PATRIC.10407.102495.DQ089760.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05150.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK515,10407.1025,DQ089761,fig|10407.102503.CDS.2,,,PATRIC.10407.102503.DQ089761.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05154.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1644,10407.10251,DQ089762,fig|10407.102509.CDS.2,,,PATRIC.10407.102509.DQ089762.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05158.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1048,10407.10251,DQ089763,fig|10407.102510.CDS.2,,,PATRIC.10407.102510.DQ089763.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05162.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK967,10407.10252,DQ089764,fig|10407.102519.CDS.2,,,PATRIC.10407.102519.DQ089764.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05166.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK428,10407.10252,DQ089765,fig|10407.102524.CDS.2,,,PATRIC.10407.102524.DQ089765.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05170.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK553,10407.10253,DQ089766,fig|10407.102530.CDS.2,,,PATRIC.10407.102530.DQ089766.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05174.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1663,10407.10254,DQ089767,fig|10407.102536.CDS.1,,,PATRIC.10407.102536.DQ089767.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05177.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK1814,10407.10255,DQ089768,fig|10407.102545.CDS.2,,,PATRIC.10407.102545.DQ089768.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05181.1,400,preS1/S2/S,preS1/S2/S,
Hepatitis B virus HK430,10407.10255,DQ089769,fig|10407.102548.CDS.2,,,PATRIC.10407.102548.DQ089769.CDS.2848.835.fwd,PATRIC,CDS,2848,835,1203,+,,,,AAZ05185.1,400,preS1/S2/S,preS1/S2/S,
